"shooterName","SkaterTeam","position","Goals","Misses","Shots","Ice.AVG","Shot.Dist.AVG","goal.Percentage","Blocked","Successful","Accuracy"
"Leon Draisaitl","EDM","C",256,471,1012,50,26,25.3,285,541,53.4584980237154
"Auston Matthews","TOR","C",242,639,1369,40,27,17.68,488,730,53.3235938641344
"Connor McDavid","EDM","C",239,409,1213,46,22,19.7,565,804,66.2819455894477
"David Pastrnak","BOS","R",234,624,1419,38,33,16.49,561,795,56.0253699788584
"Alex Ovechkin","WSH","L",225,675,1320,47,35,17.05,420,645,48.8636363636364
"Nathan MacKinnon","COL","C",211,542,1661,44,32,12.7,908,1119,67.3690547862733
"Mikko Rantanen","COL","R",201,481,1038,42,29,19.36,356,557,53.6608863198459
"Brayden Point","T.B","C",200,382,835,41,22,23.95,253,453,54.251497005988
"Sebastian Aho","CAR","C",196,593,1140,35,29,17.19,351,547,47.9824561403509
"Sebastian Aho","NYI","D",196,593,1140,35,29,17.19,351,547,47.9824561403509
"Steven Stamkos","T.B","C",187,428,932,43,31,20.06,317,504,54.0772532188841
"Kyle Connor","WPG","L",186,407,1118,41,27,16.64,525,711,63.5957066189624
"Chris Kreider","NYR","L",177,400,841,38,23,21.05,264,441,52.4375743162901
"Brad Marchand","BOS","L",176,398,983,36,30,17.9,409,585,59.5116988809766
"Mika Zibanejad","NYR","C",175,493,998,39,31,17.54,330,505,50.6012024048096
"Matthew Tkachuk","CGY","L",173,473,1066,40,24,16.23,420,593,55.6285178236398
"Jake Guentzel","PIT","L",170,354,920,36,24,18.48,396,566,61.5217391304348
"John Tavares","TOR","C",166,524,1097,37,23,15.13,407,573,52.2333637192343
"Brock Nelson","NYI","C",164,309,835,35,25,19.64,362,526,62.9940119760479
"Mark Scheifele","WPG","C",164,340,732,43,25,22.4,228,392,53.551912568306
"Alex DeBrincat","CHI","L",161,356,981,38,29,16.41,464,625,63.710499490316
"Joe Pavelski","DAL","C",161,422,824,34,23,19.54,241,402,48.7864077669903
"Joe Pavelski","S.J","C",161,422,824,34,23,19.54,241,402,48.7864077669903
"Patrice Bergeron","BOS","C",155,474,1192,34,30,13,563,718,60.2348993288591
"Nikita Kucherov","T.B","R",153,504,990,41,33,15.45,333,486,49.0909090909091
"Aleksander Barkov","FLA","C",152,344,951,39,27,15.98,455,607,63.8275499474238
"Elias Lindholm","CGY","C",148,323,822,34,28,18,351,499,60.705596107056
"Bo Horvat","VAN","C",147,316,864,36,26,17.01,401,548,63.4259259259259
"Jonathan Marchessault","VGK","C",146,456,1242,34,31,11.76,640,786,63.2850241545894
"Timo Meier","S.J","R",146,535,1195,33,28,12.22,514,660,55.2301255230126
"Elias Pettersson","VAN","C",144,406,710,39,30,20.28,160,304,42.8169014084507
"Sidney Crosby","PIT","C",144,337,870,36,26,16.55,389,533,61.264367816092
"Sam Reinhart","BUF","C",143,450,800,40,26,17.88,207,350,43.75
"Sam Reinhart","BUF","R",143,450,800,40,26,17.88,207,350,43.75
"William Nylander","TOR","R",143,420,980,36,27,14.59,417,560,57.1428571428571
"Patrick Kane","CHI","R",142,398,1224,44,30,11.6,684,826,67.483660130719
"Artemi Panarin","CBJ","L",140,439,849,44,34,16.49,270,410,48.2921083627797
"Artemi Panarin","NYR","L",140,439,849,44,34,16.49,270,410,48.2921083627797
"Johnny Gaudreau","CGY","L",139,403,999,38,28,13.91,457,596,59.6596596596597
"David Perron","STL","L",138,336,794,37,31,17.38,320,458,57.6826196473552
"Roope Hintz","DAL","L",135,333,725,29,25,18.62,257,392,54.0689655172414
"Zach Hyman","TOR","L",135,346,883,38,20,15.29,402,537,60.8154020385051
"Evander Kane","S.J","L",134,368,992,34,28,13.51,490,624,62.9032258064516
"Mitchell Marner","TOR","R",134,391,934,35,31,14.35,409,543,58.1370449678801
"Tomas Hertl","S.J","C",132,326,718,36,24,18.38,260,392,54.5961002785515
"Filip Forsberg","NSH","L",130,446,872,36,31,14.91,296,426,48.8532110091743
"Alex Killorn","T.B","L",129,296,722,33,27,17.87,297,426,59.0027700831025
"Mark Stone","VGK","R",129,310,657,37,26,19.63,218,347,52.8158295281583
"Tyler Toffoli","L.A","R",128,392,1015,31,31,12.61,495,623,61.3793103448276
"Tyler Toffoli","MTL","C",128,392,1015,31,31,12.61,495,623,61.3793103448276
"Tyler Toffoli","VAN","R",128,392,1015,31,31,12.61,495,623,61.3793103448276
"Jeff Skinner","BUF","L",127,335,932,36,26,13.63,470,597,64.0557939914163
"Anders Lee","NYI","L",125,361,831,36,22,15.04,345,470,56.5583634175692
"Andrei Svechnikov","CAR","R",125,466,954,33,28,13.1,363,488,51.1530398322851
"Brady Tkachuk","OTT","L",125,449,1202,35,25,10.4,628,753,62.6455906821963
"Matt Duchene","CBJ","C",125,312,703,36,25,17.78,266,391,55.6187766714083
"Matt Duchene","NSH","C",125,312,703,36,25,17.78,266,391,55.6187766714083
"Kirill Kaprizov","MIN","L",124,333,637,42,29,19.47,180,304,47.723704866562
"Ryan Nugent-Hopkins","EDM","C",124,307,840,42,28,14.76,409,533,63.4523809523809
"Dylan Larkin","DET","C",123,377,972,40,30,12.65,472,595,61.2139917695473
"J.T. Miller","T.B","C",123,367,720,36,30,17.08,230,353,49.0277777777778
"J.T. Miller","VAN","C",123,367,720,36,30,17.08,230,353,49.0277777777778
